]0;🐍Wi-Fi: off | code.py | 10.3.0\  1639.0 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  47.7°C |  0.00 bar [0.498 V]
  1647.8 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.02  | PI:  0.00 | Brew:  49.2°C |  0.00 bar [0.497 V]
  1648.1 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.37 | PD: -0.00  | PI:  0.00 | Brew:  52.7°C |  0.00 bar [0.497 V]
  1648.5 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.02  | PI:  0.00 | Brew:  48.4°C |  0.00 bar [0.495 V]
  1648.8 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.39 | PD:  0.00  | PI:  0.00 | Brew:  51.4°C |  0.00 bar [0.498 V]
  1649.1 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.39 | PD:  0.00  | PI:  0.00 | Brew:  49.0°C |  0.00 bar [0.500 V]
  1649.4 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.37 | PD: -0.00  | PI:  0.00 | Brew:  46.0°C |  0.00 bar [0.500 V]
  1649.7 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.37 | PD: -0.00  | PI:  0.00 | Brew:  51.5°C |  0.01 bar [0.502 V]
  1650.0 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.39 | PD:  0.00  | PI:  0.00 | Brew:  47.2°C |  0.00 bar [0.489 V]
  1650.4 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD:  0.01  | PI:  0.00 | Brew:  49.7°C |  0.00 bar [0.491 V]
  1650.6 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD:  0.01  | PI:  0.00 | Brew:  49.2°C |  0.00 bar [0.498 V]
  1650.9 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  49.0°C |  0.01 bar [0.502 V]
  1651.2 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  48.6°C |  0.00 bar [0.500 V]
  1651.6 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  46.5°C |  0.00 bar [0.498 V]
  1651.8 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  51.7°C |  0.00 bar [0.498 V]
  1652.1 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  50.3°C |  0.02 bar [0.504 V]
  1652.4 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD:  0.01  | PI:  0.00 | Brew:  48.4°C |  0.00 bar [0.500 V]
  1652.7 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD:  0.01  | PI:  0.00 | Brew:  50.6°C |  0.00 bar [0.495 V]
  1653.0 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.02  | PI:  0.00 | Brew:  48.7°C |  0.00 bar [0.498 V]
  1653.3 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD:  0.01  | PI:  0.00 | Brew:  52.9°C |  0.00 bar [0.497 V]
